index     timeStep    vehicleName    lane        pos        speed       TLid        yellowOrRed      
93         14.20      Veh1            NC_3         96.32      13.89      C               1               
93         14.20      Veh9            NC_3         65.77      13.89      C               1               
93         14.20      Veh2            NC_3         27.09      12.60      C               1               
93         14.20      Veh5            WC_3         96.32      13.89      C               0               
93         14.20      Veh10           WC_3         65.77      13.89      C               0               
93         14.20      Veh6            WC_4         27.09      12.60      C               0               

94         14.30      Veh1            NC_3         97.71      13.89      C               1               
94         14.30      Veh9            NC_3         67.16      13.89      C               1               
94         14.30      Veh2            NC_3         28.38      12.90      C               1               
94         14.30      Veh5            WC_3         97.71      13.89      C               0               
94         14.30      Veh10           WC_3         67.16      13.89      C               0               
94         14.30      Veh6            WC_4         28.38      12.90      C               0               

95         14.40      Veh1            NC_3         99.10      13.89      C               1               
95         14.40      Veh9            NC_3         68.54      13.89      C               1               
95         14.40      Veh2            NC_3         29.70      13.20      C               1               
